,LAC
2925,0.0
2926,0.0
2927,0.8
2928,0.0
2929,2.0842104800000003
2930,1.5
2931,0.0
2932,0.0
2933,0.0
2934,1.42358974
2935,0.0
2936,0.0
2937,0.0
2938,0.36
2939,0.0
2940,0.0
2941,0.0
2942,0.560707078
2943,2.2857144
2944,4.704761980000001
2945,0.45999999999999996
2946,0.0
2947,0.0
2948,0.0
2949,0.0
2950,0.0
2951,0.0
2952,1.5
2953,0.0
2954,0.0
2955,0.0
2956,0.0
2957,0.0
2958,0.0
2959,0.0
2960,0.0
2961,0.0
2962,0.418470426
2963,0.0
2964,0.0
2965,2.80555558
2966,0.0
2967,0.133333332
2968,0.0
2969,0.0
2970,1.78253968
2971,0.0
2972,0.133333336
2973,0.0
2974,0.0
2975,0.36666667999999997
2976,0.381587308
2977,0.0
2978,1.30793658
2979,0.13333334
2980,0.32
2981,0.0
2982,0.0
2983,0.0
2984,0.0
2985,0.0
2986,0.0
2987,0.0
2988,0.0
2989,0.0
2990,1.10109892
2991,5.875
2992,0.0
2993,0.0
2994,0.0
2995,0.0
2996,0.0
2997,3.2153535599999996
2998,0.0
2999,0.5561904839999999
3000,0.0
3001,0.0
3002,0.0
3003,1.8857143
3004,0.37333333999999996
3005,0.0
3006,0.0
3007,0.0
3008,4.0
3009,1.9402596799999998
3010,0.0
3011,0.5142857399999999
3012,3.1111112000000003
3013,0.5028571599999999
3014,0.0
3015,0.0
3016,0.6133333400000001
3017,0.0
3018,0.37155352599999997
3019,1.4666666400000001
3020,1.3333334
3021,0.8000000199999999
3022,0.0
3023,0.0
3024,0.0
3025,0.0
3026,0.19487179999999998
3027,0.0
3028,0.0
3029,0.0
3030,0.0
3031,0.0
3032,0.8933333400000001
3033,0.198793372
3034,0.0
3035,1.7600000000000002
3036,0.0
3037,1.0
3038,0.0
3039,0.0
3040,0.0
3041,0.0
3042,0.0
3043,1.60190476
3044,0.0
3045,0.0
3046,0.0
3047,1.0
3048,0.0
3049,0.0
3050,0.0
3051,1.0
3052,0.0
3053,0.0
3054,0.0
3055,8.746829400000001
3056,3.4976190599999994
3057,0.600000028
3058,0.0
3059,0.0
3060,0.10760233999999999
3061,0.0
3062,0.05
3063,0.0
3064,0.0
3065,0.0
3066,0.0
3067,0.0
3068,0.42000000000000004
3069,0.0
3070,0.48
3071,0.0
3072,0.0
3073,1.085714334
3074,0.0
3075,0.0
3076,0.0
3077,0.0
3078,0.6666667
3079,3.5314284000000002
3080,0.8400000000000001
3081,0.38095239999999997
3082,3.090909
3083,0.0
3084,0.0
3085,1.375
3086,0.0
3087,0.32987013800000003
3088,0.0
3089,0.0
3090,0.3
3091,0.088205132
3092,0.0
3093,0.8455677679999999
3094,1.6
3095,0.0
3096,0.0
3097,0.0
3098,0.0
3099,1.4523076799999999
3100,0.0
3101,0.0
3102,0.0
3103,0.0
3104,0.0
3105,0.8
3106,4.8608391
3107,0.0
3108,0.0
3109,0.0
3110,0.0
3111,0.0
3112,0.08
3113,0.0
3114,0.0
3115,0.0
3116,0.4
3117,0.083333335
3118,0.0
3119,0.0
3120,0.0
3121,0.0
3122,0.0
3123,0.36666667
3124,0.0
3125,0.6666667
3126,0.0
3127,0.0
3128,3.1238095799999996
3129,0.0
3130,1.3
3131,0.62666668
3132,1.56444448
3133,0.0
3134,0.0
3135,0.6666667
3136,1.0
3137,0.0
3138,0.0
3139,0.0
3140,3.8
3141,0.0
3142,0.0
3143,3.51971102
3144,1.6066667
3145,0.0
3146,0.0
3147,0.6666667
3148,2.30526314
3149,0.0
3150,0.0
3151,0.0
3152,0.0
3153,0.6666666666666666
3154,0.0
3155,1.14666668
3156,0.46428572
3157,0.0
3158,0.0
3159,0.0
3160,0.6666667
3161,0.0
3162,0.0
3163,2.1142857000000004
3164,0.6
3165,0.0
3166,0.0
3167,0.0
3168,0.0
3169,0.441904776
3170,0.0
3171,0.0
3172,2.8285715000000002
3173,0.2
3174,0.0
3175,0.17272727799999998
3176,0.0
3177,0.0
3178,0.0
3179,0.40000001999999996
3180,0.0
3181,0.0
3182,0.0
3183,0.0
3184,0.0
3185,2.8888889
3186,0.0
3187,0.0
3188,4.6857142
3189,0.0
3190,0.0
3191,0.0
3192,3.3075362200000002
3193,1.46666668
3194,0.20000000399999998
3195,0.56666668
3196,0.514285722
3197,0.0
3198,0.0
3199,0.44444444999999994
3200,0.0
3201,0.53333336
3202,0.0
3203,0.0
3204,2.35
3205,0.0
3206,0.8
3207,1.80012698
3208,1.1912088400000003
3209,0.0
3210,0.0
3211,0.0
3212,3.53
3213,0.66285716
3214,0.0
3215,0.8166666680000001
3216,2.4444445000000004
3217,0.66666668
3218,0.16
3219,0.0
3220,0.0
3221,0.330109896
3222,0.0
3223,8.622221999999999
3224,0.802857146
3225,3.6944852000000004
3226,0.0
3227,0.0
3228,0.0
3229,0.0
3230,0.0
3231,0.0
3232,0.0
3233,0.0
3234,5.2964103
3235,0.0
3236,3.2
3237,0.0
3238,1.1123809999999998
3239,0.0
3240,0.0
3241,0.0
3242,0.0
3243,0.0
3244,0.0
3245,0.0
3246,0.0
3247,0.0
3248,0.0
3249,0.0
3250,1.29111112
3251,0.0
3252,0.0
3253,5.27654762
3254,1.7195726800000002
3255,0.0
3256,0.0
3257,0.0
3258,0.0
3259,0.0
3260,0.0
3261,0.0
3262,0.53333334
3263,0.0
3264,1.2266667199999999
3265,0.0
3266,0.0
3267,2.16666668
3268,0.0
3269,0.0
3270,0.0
3271,0.0
3272,3.0618182
3273,2.20444446
3274,0.0
3275,0.0
3276,1.1069337200000002
