name,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12
YDR324C,0.157215198,0.156464194,0.378794928,0.462849766,0.407477091,0.443369567,0.484207412,1.875013183,1.026059508,0.368348435,0.607093682,0.587437034
YDR326C,0.722931653,0.740306477,0.80675,0.711465796,0.840523382,0.839200854,0.761918704,1.153448979,1.112466613,0.806417863,0.826313694,1.108364085
YDR327W,1.140725374,1.3539023,1.459795554,1.33612903,1.483092705,1.025939663,0.990326007,0.722474436,0.976382951,0.851237019,0.602431019,0.56426246
YDR328C,9.473421733,13.64674632,13.64696566,12.10863717,11.99556987,10.80570317,10.76645978,7.797683557,8.867942969,6.952319304,5.276570956,6.215408484
YDR329C,3.135833422,3.958755493,4.293262402,3.5652891,3.476096312,3.076385975,3.681861719,1.998664697,2.075115164,1.777338704,1.32885468,1.66632096
YDR330W,2.418401917,3.731086969,3.36056757,3.622425079,3.388392766,3.729200125,3.883139769,1.90545853,2.061680833,1.973186453,1.36461854,1.639632622
YDR331W,2.000412146,1.667279084,1.61599942,1.182265481,1.395376205,1.508535266,1.448468725,2.742651184,4.573554198,3.666046937,2.957345724,3.245808284
YDR332W,0.702212979,0.746438523,0.710641046,0.633244852,0.558453004,0.577117145,0.584093908,0.603044589,0.803450684,0.635043045,0.67833963,0.830420057
YDR333C,0.937712312,1.319622397,1.418457309,1.221024632,1.218126078,1.523202976,1.165605963,1.1200188,2.562772274,1.457737605,1.124047021,1.219164372
YDR334W,2.3046302,2.778437177,2.77152737,2.36323746,2.490588029,2.368180911,2.33369871,1.792005857,2.132050395,2.072918375,1.50621744,1.937144756
YDR335W,6.175097147,5.092426618,5.682783604,5.978626569,5.235962073,5.887193044,4.60681359,5.41764768,5.801381747,6.042259057,5.485432943,5.403158029
YDR337W,8.234333833,3.753883839,2.416078488,1.991419554,1.693493605,1.675582528,1.3541104,2.120554408,3.707533757,6.948900858,8.172746975,7.399924119
YDR339C,2.207860947,2.077460845,2.771994035,2.763466358,2.850670179,3.313792626,3.140005429,7.770817915,8.09548378,3.767625888,4.179260413,4.123430729
YDR340W,0,0,0,0,0,0,0,0,0,0,0,0
YDR341C,14.61511676,8.056237698,11.43309593,11.67939599,12.1147871,13.67301528,14.67088222,18.98368327,27.17740949,15.63391304,16.23437754,14.68328889
YDR342C,47.29345576,52.87461726,52.48785273,45.51810455,43.42134984,40.46787516,35.97480901,31.09284147,38.44811503,29.95555496,36.47197087,35.96009572
YDR343C,50.84523264,59.14722189,55.61979802,51.19607035,51.1346283,44.43240356,40.42033132,35.56386948,41.95379257,36.19679451,42.84721375,41.97721354
YDR344C,0,0,0,0,0,0,0,0,0,0,0,0
YDR345C,2.068064491,2.005367915,2.231351932,2.376097997,2.096338073,2.913837353,2.847417514,4.051348925,1.715285818,2.279326359,2.794826587,2.357119163
YDR346C,0.865009407,0.781146149,0.861672759,0.775367498,0.721004804,0.838576535,0.735057553,1.158704718,0.781422992,0.683489521,0.879426738,1.020904183
YDR347W,12.22229322,5.41757981,3.163409074,2.476759394,2.498921394,2.128897111,2.55622069,3.00849843,5.031864643,8.840582689,9.743753592,8.414771875
YDR348C,2.267185211,1.287598968,1.224187772,0.878600578,0.774932842,0.762370865,0.893058002,2.326026956,2.697130203,2.697949886,2.544923703,2.230563959
YDR349C,2.667767922,2.395236572,2.447513501,2.24063468,2.373332421,2.28929162,2.34623154,2.724952777,3.122174978,2.322912216,2.429708401,2.417124589
YDR350C,1.390836398,1.344112913,1.293006301,1.257765571,1.387058656,1.172673504,1.246654073,1.170012474,0.98468564,0.965257406,1.059444289,0.966366987
YDR351W,1.774378578,2.212792397,2.253581524,2.58360815,2.546200911,2.853304227,2.579152823,2.672498544,2.21565187,2.055324117,2.382406394,2.482720852
YDR353W,7.89730072,6.234065533,5.08767128,4.064774434,3.90256079,3.071242889,3.359203657,6.94805614,9.926100413,7.534387588,6.532656034,6.459638278
