,DC
1932,0.0
1933,0.0
1934,0.0
1935,1.0
1936,1.0
1937,3.4
1938,1.0
1939,0.0
1940,6.0
1941,12.0
1942,0.0
1943,7.0
1944,1.6
1945,2.6
1946,0.0
1947,0.0
1948,0.0
1949,20.8
1950,5.0
1951,2.0
1952,2.4
1953,1.0
1954,1.0
1955,1.6
1956,1.0
1957,0.0
1958,12.0
1959,3.4
1960,2.0
1961,0.0
1962,1.0
1963,1.0
1964,5.8
1965,0.0
1966,0.0
1967,1.0
1968,2.8
1969,1.0
1970,5.2
1971,2.0
1972,4.2
1973,1.0
1974,4.2
1975,0.0
1976,1.0
1977,1.0
1978,13.4
1979,3.4
1980,0.0
1981,2.0
1982,1.6
1983,6.4
1984,0.0
1985,2.0
1986,2.8
1987,0.0
1988,0.0
1989,0.0
1990,1.0
1991,2.0
1992,0.0
1993,2.4
1994,1.0
1995,1.6
1996,1.0
1997,2.3333333333333335
1998,3.0
1999,0.0
2000,46.4
2001,1.0
2002,0.0
2003,2.0
2004,2.2
2005,1.8
2006,1.2
2007,1.0
2008,3.2
2009,0.0
2010,3.2
2011,0.0
2012,3.0
2013,2.6666666666666665
2014,0.0
2015,0.0
2016,0.0
2017,2.0
2018,6.0
2019,3.0
2020,0.0
2021,5.25
2022,1.4
2023,0.0
2024,0.0
2025,15.0
2026,3.0
2027,1.0
2028,7.2
2029,0.0
2030,0.0
2031,11.8
2032,0.0
2033,0.0
2034,1.75
2035,0.0
2036,0.0
2037,1.0
2038,0.0
2039,2.8
2040,17.6
2041,2.0
2042,1.0
2043,0.0
2044,9.4
2045,7.8
2046,2.4
2047,3.4
2048,1.0
2049,22.2
2050,2.0
2051,1.0
2052,0.0
2053,4.6
2054,0.0
2055,2.4
2056,0.0
2057,0.0
2058,1.0
2059,0.0
2060,5.0
2061,0.0
2062,0.0
2063,1.0
2064,0.0
2065,0.0
2066,3.4
2067,0.0
2068,0.0
2069,0.0
2070,26.6
2071,8.0
2072,12.0
2073,1.0
2074,6.0
2075,16.4
2076,1.6
2077,1.2
2078,2.8
2079,3.0
2080,1.0
2081,0.0
2082,0.0
2083,4.4
2084,2.8
2085,3.8
2086,1.0
2087,1.0
2088,2.4
2089,2.4
2090,0.0
2091,2.8
2092,1.4
2093,0.0
2094,1.0
2095,1.0
2096,2.0
2097,0.0
2098,0.0
2099,0.0
2100,4.0
2101,1.0
2102,0.0
2103,0.0
2104,24.6
2105,2.0
2106,4.0
2107,2.2
2108,0.0
2109,0.0
2110,30.2
2111,0.0
2112,1.0
2113,0.0
2114,1.0
2115,0.0
2116,2.0
2117,8.0
2118,0.0
2119,0.0
2120,0.0
2121,1.0
2122,2.0
2123,4.6
2124,1.6
2125,2.6
2126,2.2
2127,34.4
2128,0.0
2129,5.0
2130,14.0
2131,2.6
2132,6.2
2133,1.0
2134,0.0
