,BC
2494,4343.537579999999
2495,3950.2147400000003
2496,1155.3246199999999
2497,0.0
2498,7284.3602
2499,156066.49
2500,0.0
2501,0.0
2502,5282.56472
2503,0.0
2504,921.09364
2505,2941.03518
2506,5172.0679199999995
2507,0.0
2508,7995.44748
2509,0.0
2510,0.0
2511,3808.10086
2512,857.4789579999999
2513,15548.78834
2514,0.0
2515,0.0
2516,68.62926999999999
2517,0.0
2518,32310.654799999997
2519,0.0
2520,63.2379728
2521,0.0
2522,2870.37312
2523,5028.0
2524,0.0
2525,0.0
2526,1952.3240680000004
2527,24323.365400000002
2528,0.0
2529,0.0
2530,23583.447200000002
2531,15509.161200000002
2532,0.0
2533,1098.4780999999998
2534,17165.381799999996
2535,22126.994
2536,0.0
2537,0.0
2538,19829.1284
2539,18038.5632
2540,0.0
2541,1722.8701
2542,3773.4872000000005
2543,0.0
2544,18544.244
2545,0.0
2546,4604.5628
2547,3245.5011999999997
2548,382.7760975
2549,0.0
2550,91.010345
2551,636.417775
2552,50.716183799999996
2553,3800.27526
2554,2601.9332
2555,0.0
2556,0.0
2557,11337.563939999998
2558,10813.71152
2559,4431.38414
2560,0.0
2561,0.0
2562,77438.11720000001
2563,0.0
2564,0.0
2565,26671.0782
2566,1119.06984
2567,0.0
2568,0.0
2569,52700.118
2570,0.0
2571,45.038005
2572,8040.13284
2573,304.93971799999997
2574,14568.147599999997
2575,0.0
2576,0.0
2577,4540.51104
2578,36866.684199999996
2579,0.0
2580,0.0
2581,296.44479
2582,0.0
2583,42432.769
2584,0.0
2585,37259.2854
2586,0.0
2587,43977.2814
2588,0.0
2589,0.0
2590,0.0
2591,595.181732
2592,85.235215
2593,57379.08833333334
2594,0.0
2595,10533.984666666665
2596,0.0
2597,0.0
2598,0.0
2599,0.0
2600,0.0
2601,0.0
2602,0.0
2603,5150.7869200000005
2604,0.0
2605,1897.4486500000003
2606,0.0
2607,0.0
2608,53428.374800000005
2609,0.0
2610,0.0
2611,0.0
2612,0.0
2613,0.0
2614,0.0
2615,0.0
2616,0.0
2617,0.0
2618,10839.892
2619,0.0
2620,0.0
2621,0.0
2622,0.0
2623,0.0
2624,16296.073
2625,0.0
2626,476.1543240000001
2627,0.0
2628,0.0
2629,0.0
2630,6274.0
2631,4832.034119999999
2632,0.0
2633,0.0
2634,29017.237800000003
2635,0.0
2636,0.0
2637,0.0
2638,0.0
2639,0.0
2640,24787.191000000003
2641,0.0
2642,250.4971875
2643,0.0
2644,0.0
2645,6029.48272
2646,0.0
2647,20.16251175
2648,0.0
2649,41143.685
2650,0.0
2651,0.0
2652,2.0
2653,0.0
2654,0.0
2655,0.0
2656,0.0
2657,0.0
2658,1983.1676460000003
2659,0.0
2660,2076.8749799999996
2661,1257.6117319999998
2662,2597.857714
2663,0.0
2664,0.0
2665,0.0
2666,0.0
2667,3307.1374000000005
2668,0.0
2669,0.0
2670,2033.2711800000002
2671,0.0
2672,12652.1466
2673,0.0
2674,0.0
2675,3316.8495
2676,0.0
2677,0.0
2678,0.0
2679,0.0
2680,2293.2909
2681,0.0
2682,126.56014250000001
2683,0.0
2684,3082.144688
2685,0.0
2686,136981.97000000003
2687,548.7502699999999
2688,0.0
2689,0.0
2690,0.0
2691,0.0
2692,0.0
2693,2461.2471666666665
2694,178.7672
2695,400.910104
2696,2913.1645399999998
2697,0.0
2698,21918.4742
2699,0.0
2700,0.0
2701,2973.5375400000003
2702,0.0
2703,16942.7356
2704,12588.5514
2705,0.0
2706,0.0
2707,0.0
2708,0.0
2709,0.0
2710,8164.58508
2711,0.0
2712,3398.6732800000004
2713,13733.193599999999
2714,0.0
2715,6274.0
2716,559.74618
2717,81.1612562
2718,7496.754400000001
2719,0.0
2720,7220.856940000001
2721,12544.0
2722,220.92273400000005
2723,37286.614199999996
2724,5443.1972000000005
2725,0.0
2726,16938.8578
2727,0.0
2728,17569.462
2729,647.4378399999999
2730,2346.1591999999996
2731,20633.6472
2732,0.0
2733,0.0
2734,14848.829099999999
2735,3767.071825
2736,0.0
2737,0.0
2738,0.0
2739,46575.38220000001
